"","site_network_id","site","site_name","variable","date_started","date_ended","site_type","latitude","longitude","data_table","database_name"
"1175",2587,"fal5","Falkirk Haggs","no2",2009-01-01,NA,"roadside",55.991087,-3.941685,"measurement","scotarc"
"1176",3168,"fal5","Falkirk Haggs","pm10",2013-01-01,NA,NA,55.991087,-3.941685,"measurement","scotarc"
"1182",2376,"fal3","Falkirk Hope St","no2",2007-07-01,NA,"roadside",56.001956,-3.786485,"measurement","scotarc"
"1184",2380,"fal3","Falkirk Hope St","pm10",2007-07-01,NA,"roadside",56.001956,-3.786485,"measurement","scotarc"
"1198",2370,"fal2","Falkirk Park St","no2",2007-07-01,2014-04-28,"roadside",56.000657,-3.7831,"measurement","scotarc"
"1200",2374,"fal2","Falkirk Park St","pm10",2007-07-01,2014-04-28,"roadside",56.000657,-3.7831,"measurement","scotarc"
"1204",2729,"fal6","Falkirk West Bridge Street","pm10",2009-09-16,NA,"roadside",56.000507,-3.790128,"measurement","scotarc"
"1206",2608,"fal6","Falkirk West Bridge Street","no2",2007-11-07,NA,"roadside",56.000507,-3.790128,"measurement","scotarc"
"1216",2288,"cupa","Fife Cupar","no2",2005-12-19,NA,"roadside",56.319444,-3.014167,"measurement","scotarc"
"1218",2285,"cupa","Fife Cupar","pm10",2005-12-19,2009-06-24,"roadside",56.319444,-3.014167,"measurement","scotarc"
"1231",2360,"dunf","Fife Dunfermline","no2",2007-08-01,NA,"roadside",56.07383,-3.44862,"measurement","scotarc"
"1235",2327,"kinc","Fife Kincardine","no2",2006-01-01,2007-05-11,"roadside",56.068611,-3.716944,"measurement","scotarc"
"1240",2776,"kir","Fife Kirkcaldy","no2",2011-02-08,NA,"roadside",56.124331,-3.141347,"measurement","scotarc"
"1241",3292,"kir","Fife Kirkcaldy","pm25",2016-04-06,NA,NA,56.124331,-3.141347,"measurement","scotarc"
"1250",3291,"kir","Fife Kirkcaldy","pm10",2016-04-06,NA,NA,56.124331,-3.141347,"measurement","scotarc"
"1254",3279,"rosy","Fife Rosyth","pm25",2015-07-20,NA,NA,56.036243,-3.417582,"measurement","scotarc"
"1259",2477,"rosy","Fife Rosyth","pm10",2015-07-20,NA,"roadside",56.036243,-3.417582,"measurement","scotarc"
"1263",2475,"rosy","Fife Rosyth","no2",2008-03-13,NA,"roadside",56.036243,-3.417582,"measurement","scotarc"
"1297",2280,"fw","Fort William","o3",2006-06-22,NA,"suburban",56.82266,-5.101102,"measurement","scotarc"
"1298",2277,"fw","Fort William","no2",2006-06-22,NA,"suburban",56.82266,-5.101102,"measurement","scotarc"
"1311",1741,"82123","GALASHIELS 1N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1312",1742,"82124","GALASHIELS 2N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1316",1738,"82093","GIFFNOCK 1N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1317",1666,"81838","GIFFNOCK 2N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"1318",1833,"83590","GIFFNOCK 3N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"1393",1918,"84844","Glasgow 10N","no2",2006-01-04,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1394",1919,"84845","Glasgow 11N","no2",2006-01-04,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1395",1920,"84846","Glasgow 12N","no2",2006-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1396",1921,"84847","Glasgow 13N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1397",1922,"84848","Glasgow 14N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1398",1923,"84849","Glasgow 15N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1399",1924,"84850","Glasgow 16N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1400",1925,"84851","Glasgow 17N","no2",2006-01-09,NA,"urban_centre",NA,NA,"md_measurement","scotarc"
"1401",1926,"84852","Glasgow 18N","no2",2006-01-09,NA,"urban_centre",NA,NA,"md_measurement","scotarc"
"1402",1927,"84853","Glasgow 19N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1403",1645,"81790","GLASGOW 1N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1406",1928,"84854","Glasgow 20N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1407",1929,"84855","Glasgow 21N","no2",2006-01-09,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1408",1930,"84856","Glasgow 22N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1409",1931,"84857","Glasgow 23N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1410",1932,"84858","Glasgow 24N","no2",2006-01-09,NA,"kerbside",NA,NA,"md_measurement","scotarc"
"1411",1933,"84859","Glasgow 25N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1412",1934,"84860","Glasgow 26N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1413",1935,"84861","Glasgow 27N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1414",1936,"84862","Glasgow 28N","no2",2006-01-09,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1415",1937,"84863","Glasgow 29N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1416",1646,"81791","GLASGOW 2N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"1417",1938,"84864","Glasgow 30N","no2",2006-01-09,NA,"kerbside",NA,NA,"md_measurement","scotarc"
"1420",1939,"84865","Glasgow 31N","no2",2006-01-09,NA,"urban",NA,NA,"md_measurement","scotarc"
"1421",1940,"84866","Glasgow 32N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1422",1941,"84867","Glasgow 33N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1423",1942,"84868","Glasgow 34N","no2",2006-01-09,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1424",1943,"84869","Glasgow 35N","no2",2006-01-06,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1425",1944,"84870","Glasgow 36N","no2",2006-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1426",1945,"84871","Glasgow 37N","no2",2006-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1427",1946,"84872","Glasgow 38N","no2",2006-01-04,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1428",1947,"84873","Glasgow 39N","no2",2006-01-04,NA,"suburban",NA,NA,"md_measurement","scotarc"
"1429",1647,"81792","GLASGOW 3N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"1430",1948,"84874","Glasgow 40N","no2",2006-01-04,NA,"suburban",NA,NA,"md_measurement","scotarc"
"1431",1949,"84875","Glasgow 41N","no2",2006-01-09,NA,"kerbside",NA,NA,"md_measurement","scotarc"
"1434",1950,"84876","Glasgow 42N","no2",2006-01-06,NA,"suburban",NA,NA,"md_measurement","scotarc"
"1435",1951,"84877","Glasgow 43N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1438",1952,"84878","Glasgow 44N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1439",1953,"84880","Glasgow 45N","no2",NA,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1440",1954,"84881","Glasgow 46N","no2",2006-01-05,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1443",1955,"84882","Glasgow 47N","no2",2006-01-05,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1444",1956,"84883","Glasgow 48N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1445",1957,"84884","Glasgow 49N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1446",1648,"81793","GLASGOW 4N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1449",1958,"84885","Glasgow 50N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1452",1959,"84886","Glasgow 51N","no2",2006-01-05,NA,"kerbside",NA,NA,"md_measurement","scotarc"
"1455",1960,"84887","Glasgow 52N","no2",2006-01-05,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1456",1961,"84888","Glasgow 53N","no2",2006-01-05,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1457",1962,"84889","Glasgow 54N","no2",2006-01-05,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1458",1963,"84890","Glasgow 55N","no2",2006-01-05,NA,"kerbside",NA,NA,"md_measurement","scotarc"
"1459",1964,"84891","Glasgow 56N","no2",2006-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1460",1965,"84892","Glasgow 57N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1463",1966,"84893","Glasgow 58N","no2",2006-01-05,NA,"kerbside",NA,NA,"md_measurement","scotarc"
"1466",1967,"84894","Glasgow 59N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1467",1755,"82193","GLASGOW 5N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1470",1968,"84895","Glasgow 60N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1473",1969,"84896","Glasgow 61N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1476",1970,"84897","Glasgow 62N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1479",1971,"84898","Glasgow 63N","no2",2006-01-05,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1482",1972,"84899","Glasgow 64N","no2",2006-01-05,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1485",1973,"84900","Glasgow 65N","no2",2006-01-05,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1488",1974,"84901","Glasgow 66N","no2",2006-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1491",1975,"84902","Glasgow 67N","no2",2006-01-09,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1494",1976,"84903","Glasgow 68N","no2",2006-01-05,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1497",1977,"84904","Glasgow 69N","no2",2006-01-05,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1498",1848,"83643","GLASGOW 6N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"1501",1978,"84905","Glasgow 70N","no2",2006-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1502",1979,"84906","Glasgow 71N","no2",2006-01-05,NA,"suburban",NA,NA,"md_measurement","scotarc"
"1505",1980,"84907","Glasgow 72N","no2",2006-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1508",1981,"84908","Glasgow 73N","no2",2006-01-04,NA,"urban",NA,NA,"md_measurement","scotarc"
"1511",1982,"84909","Glasgow 74N","no2",2006-01-06,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1512",1983,"84910","Glasgow 75N","no2",2006-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1513",1984,"84911","Glasgow 76N","no2",2006-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1514",1985,"84912","Glasgow 77N","no2",2006-01-06,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1515",1986,"84913","Glasgow 78N","no2",2006-01-04,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1518",1913,"84732","Glasgow 7N","no2",2006-01-04,NA,"urban",NA,NA,"md_measurement","scotarc"
"1525",1916,"84842","Glasgow 8N","no2",2006-01-04,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1542",1917,"84843","Glasgow 9N","no2",2006-01-04,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1549",2219,"gla5","Glasgow Anderston","co",2005-01-01,2014-12-31,"urban_background",55.861667,-4.271389,"measurement","scotarc"
"1557",2224,"gla5","Glasgow Anderston","pm10",2005-01-01,2011-03-14,"urban_background",55.861667,-4.271389,"measurement","scotarc"
"1560",2221,"gla5","Glasgow Anderston","no2",2005-01-01,NA,"urban_background",55.861667,-4.271389,"measurement","scotarc"
"1565",2226,"gla8","Glasgow Battlefield Road","no2",2005-06-02,2012-02-20,"roadside",55.824852,-4.261541,"measurement","scotarc"
"1571",2229,"gla8","Glasgow Battlefield Road","pm10",2005-06-02,2012-02-20,"roadside",55.824852,-4.261541,"measurement","scotarc"
"1583",2811,"gl6","Glasgow Burgher St.","no2",2011-07-28,NA,NA,55.851071,-4.19714,"measurement","scotarc"
"1588",2212,"gla6","Glasgow Byres Road","no2",2005-01-01,NA,"roadside",55.874167,-4.294722,"measurement","scotarc"
"1595",2210,"gla6","Glasgow Byres Road","co",2005-01-01,2013-08-22,"roadside",55.874167,-4.294722,"measurement","scotarc"
"1600",2215,"gla6","Glasgow Byres Road","pm10",2005-01-01,2011-06-24,"roadside",55.874167,-4.294722,"measurement","scotarc"
"1601",2568,"gla3","Glasgow Centre","pm25",2008-12-02,2012-08-16,"urban_centre",55.85773,-4.255161,"measurement","scotarc"
"1611",2114,"gla3","Glasgow Centre","no2",1996-07-26,2012-08-16,"urban_centre",55.85773,-4.255161,"measurement","scotarc"
"1616",2115,"gla3","Glasgow Centre","o3",1996-07-26,2012-08-16,"urban_centre",55.85773,-4.255161,"measurement","scotarc"
"1619",2119,"gla3","Glasgow Centre","pm10",1996-07-26,2008-12-02,"urban_centre",55.85773,-4.255161,"measurement","scotarc"
"1620",2112,"gla3","Glasgow Centre","co",1996-07-26,2012-08-16,"urban_centre",55.85773,-4.255161,"measurement","scotarc"
"1621",2067,"gla","Glasgow City Chambers","no2",1987-01-06,2011-03-16,"urban_background",55.860414,-4.245959,"measurement","scotarc"
"1623",2065,"gla","Glasgow City Chambers","co",1989-07-28,2007-09-30,"urban_background",55.860414,-4.245959,"measurement","scotarc"
"1627",2844,"gl9","Glasgow Dumbarton Road","pm10",2012-05-01,NA,"roadside",55.870766,-4.318448,"measurement","scotarc"
"1630",2838,"gl9","Glasgow Dumbarton Road","no2",2012-05-01,NA,"roadside",55.870766,-4.318448,"measurement","scotarc"
"1637",3222,"ggwr","Glasgow Great Western Road","no2",2014-06-05,NA,NA,55.872038,-4.270936,"measurement","scotarc"
"1643",3238,"ghsr","Glasgow High Street","no2",2015-01-27,NA,"roadside",55.860936,-4.238214,"measurement","scotarc"
"1649",3243,"ghsr","Glasgow High Street","pm25",2015-01-27,NA,"roadside",55.860936,-4.238214,"measurement","scotarc"
"1650",3240,"ghsr","Glasgow High Street","pm10",2015-01-27,NA,"roadside",55.860936,-4.238214,"measurement","scotarc"
"1652",2134,"glas","Glasgow Hope St","no2",1979-08-28,1982-10-21,"kerbside",55.858333,-4.257778,"measurement","scotarc"
"1654",2132,"glas","Glasgow Hope St","co",1973-06-27,1982-10-28,"kerbside",55.858333,-4.257778,"measurement","scotarc"
"1661",2679,"gla4","Glasgow Kerbside","pm25",2009-05-28,2014-12-31,"kerbside",55.85917,-4.258889,"measurement","scotarc"
"1662",2120,"gla4","Glasgow Kerbside","co",1997-03-10,2007-09-30,"kerbside",55.85917,-4.258889,"measurement","scotarc"
"1663",2131,"gla4","Glasgow Kerbside","pm10",1997-03-10,2009-05-28,"kerbside",55.85917,-4.258889,"measurement","scotarc"
"1674",2122,"gla4","Glasgow Kerbside","no2",1997-03-10,NA,"kerbside",55.85917,-4.258889,"measurement","scotarc"
"1687",3193,"glkp","Glasgow Townhead","o3",2013-10-07,NA,NA,55.865782,-4.243631,"measurement","scotarc"
"1689",3197,"glkp","Glasgow Townhead","pm25",2013-10-07,NA,NA,55.865782,-4.243631,"measurement","scotarc"
"1694",3191,"glkp","Glasgow Townhead","no2",2013-10-07,NA,NA,55.865782,-4.243631,"measurement","scotarc"
"1701",2234,"gla7","Glasgow Waulkmillglen Reservoir","pm10",2005-01-01,NA,"rural",55.79412,-4.354968,"measurement","scotarc"
"1702",2231,"gla7","Glasgow Waulkmillglen Reservoir","no2",2005-01-01,NA,"rural",55.79412,-4.354968,"measurement","scotarc"
"1704",2235,"gla7","Glasgow Waulkmillglen Reservoir","o3",2005-01-01,NA,"rural",55.79412,-4.354968,"measurement","scotarc"
"1711",872,"5011","Glen Dye","no2",1993-02-01,1995-01-02,"rural",NA,NA,"md_measurement","scotarc"
"1781",1764,"82291","GOLSPIE 1N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"1782",1766,"82293","GOLSPIE 2N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"1802",2137,"gran","Grangemouth","co",2003-01-17,2007-09-30,"urban_industrial",56.010319,-3.704399,"measurement","scotarc"
"1804",2565,"gran","Grangemouth","pm25",2008-12-03,NA,"urban_industrial",56.010319,-3.704399,"measurement","scotarc"
"1805",2145,"gran","Grangemouth","pm10",2001-01-01,2009-04-16,"urban_industrial",56.010319,-3.704399,"measurement","scotarc"
"1811",2139,"gran","Grangemouth","no2",2001-01-01,NA,"urban_industrial",56.010319,-3.704399,"measurement","scotarc"
"1836",2683,"gra2","Grangemouth Moray","no2",2009-06-01,NA,"urban_background",56.013142,-3.710833,"measurement","scotarc"
"1839",2687,"gra2","Grangemouth Moray","pm10",2007-01-01,2011-10-04,"urban_background",56.013142,-3.710833,"measurement","scotarc"
"1846",1747,"82165","GREENOCK 1N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"1849",1748,"82166","GREENOCK 2N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"1852",1749,"82167","GREENOCK 3N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1855",1750,"82168","GREENOCK 4N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"1856",1761,"82253","GREENOCK 5N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1857",1777,"82462","GREENOCK 6N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1858",1834,"83591","GREENOCK 7N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"1867",1712,"81961","HADDINGTON 4N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"1868",1716,"82007","HADDINGTON 5N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1871",1693,"81932","HAMILTON 1N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1874",1694,"81933","HAMILTON 2N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"1881",1720,"82034","HAMILTON 5N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"1882",1721,"82035","HAMILTON 6N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1883",1722,"82036","HAMILTON 7N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"1884",1884,"84168","Harthill 1N","no2",2006-01-01,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1885",1890,"84174","Harthill 2N","no2",2006-01-01,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1892",1818,"82882","HAWICK 1N","no2",2000-01-04,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"1893",1819,"82883","HAWICK 2N","no2",2000-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"1894",1820,"82884","HAWICK 3N","no2",2000-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"1895",1821,"82885","HAWICK 4N","no2",2000-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"1896",1822,"82886","HAWICK 5N","no2",2000-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"1897",1846,"83617","HAWICK 6N","no2",2000-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"1930",3206,"inc2","Inverclyde Greenock A8","no2",2014-03-18,NA,"roadside",55.944079,-4.734421,"measurement","scotarc"
"1931",3295,"inc2","Inverclyde Greenock A8","pm25",2016-03-23,NA,NA,55.944079,-4.734421,"measurement","scotarc"
"1939",3209,"inc2","Inverclyde Greenock A8","pm10",2014-03-18,NA,"roadside",55.944079,-4.734421,"measurement","scotarc"
"1940",2758,"inc1","Inverclyde Greenock Dunlop Street","no2",2010-04-09,2013-12-07,"roadside",55.94122,-4.784771,"measurement","scotarc"
"1941",2773,"inc1","Inverclyde Greenock Dunlop Street","pm10",2010-04-09,2013-12-07,"roadside",55.94122,-4.784771,"measurement","scotarc"
"1970",2148,"inv2","Inverness","no2",2001-07-17,NA,"roadside",57.481308,-4.241451,"measurement","scotarc"
"1977",2146,"inv2","Inverness","co",2001-07-17,2007-09-30,"roadside",57.481308,-4.241451,"measurement","scotarc"
"1983",2356,"inv2","Inverness","pm10",2007-05-01,2007-12-02,"roadside",57.481308,-4.241451,"measurement","scotarc"
"1987",1902,"84223","INVERURIE 1N","no2",1994-01-01,NA,"roadside",NA,NA,"md_measurement","scotarc"
"1988",1903,"84224","INVERURIE 2N","no2",2002-01-01,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1989",1904,"84225","INVERURIE 3N","no2",1994-01-01,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1990",1905,"84226","INVERURIE 4N","no2",1994-01-01,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"1993",1812,"82782","IRVINE 1N","no2",1998-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1994",1813,"82783","IRVINE 2N","no2",1998-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"1995",1814,"82784","IRVINE 3N","no2",1998-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1996",1815,"82785","IRVINE 4N","no2",1998-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"1997",1852,"83671","IRVINE 5N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"1998",1824,"82888","KELSO 1N","no2",2000-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"1999",1825,"82889","KELSO 2N","no2",2000-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"2014",1653,"81798","KINCARDINE 1N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"2023",1765,"82292","KINLOCHBERVIE 1N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"2024",1767,"82294","KINLOCHBERVIE 2N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"2078",1859,"83842","Kirkintilloch 15N","no2",2003-12-05,NA,"roadside",NA,NA,"md_measurement","scotarc"
"2079",1860,"83843","Kirkintilloch 16N","no2",2005-06-29,NA,"roadside",NA,NA,"md_measurement","scotarc"
"2102",1770,"82350","LAIRG 1N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"2103",1633,"81552","LANARK 1N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"2104",1634,"81553","LANARK 2N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"2105",1635,"81554","LANARK 3N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"2106",1636,"81555","LANARK 4N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"2107",1713,"82002","LANARK 5N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"2108",1714,"82003","LANARK 6N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"2123",1696,"81935","LARKHALL 4N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"2131",2194,"lerw","Lerwick","o3",2005-05-25,NA,"rural",60.13922,-1.185319,"measurement","scotarc"
"2135",2868,"lerw","Lerwick","no2",2012-10-16,NA,"rural",60.13922,-1.185319,"measurement","scotarc"
"2158",2676,"ler3","Lerwick Staney Hill","no2",2008-07-01,2011-12-31,"urban_background",60.163067,-1.162889,"measurement","scotarc"
"2165",1851,"83669","LINLITHGOW 6N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"2170",1627,"81019","LIVINGSTON 3N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"2241",1118,"5107","Loch Dee","no2",1993-02-02,1995-01-04,NA,NA,NA,"md_measurement","scotarc"
"2321",1656,"81801","LOCHGELLY 4N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"2384",1823,"82887","MELROSE 1N","no2",2000-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"2387",2561,"mid2","Midlothian Dalkeith","no2",2008-01-01,2011-07-07,"roadside",55.894214,-3.070358,"measurement","scotarc"
"2396",2564,"mid2","Midlothian Dalkeith","pm10",2008-01-01,2011-07-07,"roadside",55.894214,-3.070358,"measurement","scotarc"
"2405",2582,"mid1","Midlothian Pathhead","pm10",2008-01-01,2013-07-09,"kerbside",55.867441,-2.967367,"measurement","scotarc"
"2408",1868,"83851","Milngavie 4N","no2",2005-06-29,NA,"roadside",NA,NA,"md_measurement","scotarc"
"2409",1869,"83852","Milngavie 5N","no2",2005-06-29,NA,"roadside",NA,NA,"md_measurement","scotarc"
"2410",1870,"83853","Milngavie 6N","no2",2005-06-29,NA,"roadside",NA,NA,"md_measurement","scotarc"
"2411",1912,"84233","MINTLAW 1N","no2",2004-01-01,NA,"roadside",NA,NA,"md_measurement","scotarc"
"2437",1877,"84161","Motherwell 10N","no2",2006-01-01,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"2440",1888,"84172","Motherwell 11N","no2",2006-01-01,NA,"roadside",NA,NA,"md_measurement","scotarc"
"2443",1891,"84175","Motherwell 12N","no2",2006-01-01,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"2444",1892,"84176","Motherwell 13N","no2",2006-01-01,NA,"roadside",NA,NA,"md_measurement","scotarc"
"2447",1893,"84177","Motherwell 14N","no2",2006-01-01,NA,"roadside",NA,NA,"md_measurement","scotarc"
"2450",1899,"84183","Motherwell 15N","no2",2006-01-01,NA,"roadside",NA,NA,"md_measurement","scotarc"
"2455",1677,"81904","MOTHERWELL 1N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"2456",1678,"81905","MOTHERWELL 2N","no2",1992-12-29,2000-11-28,NA,NA,NA,"md_measurement","scotarc"
"2457",1875,"84159","Motherwell 3N","no2",2006-01-01,NA,"roadside",NA,NA,"md_measurement","scotarc"
"2458",1679,"81906","MOTHERWELL 3N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"2459",1876,"84160","Motherwell 4N","no2",2006-01-01,NA,"urban_background",NA,NA,"md_measurement","scotarc"
"2462",1723,"82041","MOTHERWELL 5N","no2",1992-12-29,1997-12-02,NA,NA,NA,"md_measurement","scotarc"
"2463",1724,"82042","MOTHERWELL 6N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
"2466",1810,"82770","MOTHERWELL 7N","no2",2000-01-04,NA,NA,NA,NA,"md_measurement","scotarc"
"2467",1844,"83601","MOTHERWELL 8N","no2",1900-01-01,1900-01-01,NA,NA,NA,"md_measurement","scotarc"
"2470",1845,"83602","MOTHERWELL 9N","no2",2001-01-02,NA,NA,NA,NA,"md_measurement","scotarc"
"2471",1709,"81958","MUSSELBURGH 1N","no2",1992-12-29,NA,NA,NA,NA,"md_measurement","scotarc"
